#Types Before Cut: 11091
#Types After Cut: 9661
#Search Hits: 0
243	12	31.985	весело
244	12	31.985	квартиру
245	12	31.985	круто
246	12	31.985	любят
247	12	31.985	пятьдесят
248	12	31.985	смешно
249	19	31.839	лариса
250	113	31.684	даже
251	28	31.373	обычно
252	20	31.351	дочка
253	20	31.351	другому
254	16	31.314	школа
255	16	31.314	языке
256	21	31.044	хоть
257	21	31.044	язык
258	24	30.809	принципе
259	14	30.581	домой
260	11	29.320	inan
261	11	29.320	давали
262	11	29.320	девочки
263	11	29.320	девяносто
264	11	29.320	здорово
265	11	29.320	знала
266	11	29.320	кадра
267	11	29.320	классно
268	11	29.320	кхм
269	11	29.320	понимаешь
270	11	29.320	расскажу
271	11	29.320	рассказчик
272	11	29.320	смеётся
273	11	29.320	смотри
274	11	29.320	соседка
275	11	29.320	училась
276	26	29.252	самое
277	26	29.252	смысле
278	19	29.142	младший
279	19	29.142	приехали
280	19	29.142	учиться
281	21	28.770	жить
282	13	28.058	концерт
283	13	28.058	честно
284	156	28.034	или
285	16	27.910	видео
286	17	27.312	давайте
287	17	27.312	зовут
288	18	26.955	понимаю
289	23	26.944	дома
290	22	26.800	какую
291	19	26.764	н
292	10	26.654	бывают
293	10	26.654	вкус
294	10	26.654	восемьдесят
295	10	26.654	дед
296	10	26.654	дедушка
297	10	26.654	ехать
298	10	26.654	забыл
299	10	26.654	иии
300	10	26.654	картинка
301	10	26.654	кашель
302	10	26.654	нуу
303	10	26.654	озеро
304	10	26.654	пол
305	10	26.654	прикольно
306	10	26.654	ребята
307	10	26.654	своё
308	10	26.654	слушай
309	10	26.654	смешок
310	10	26.654	собака
311	10	26.654	ушёл
312	14	26.484	собственно
313	27	26.405	жизнь
314	15	25.599	ж
315	12	25.547	делаю
316	12	25.547	купил
317	49	25.541	всегда
318	16	25.080	читать
319	27	25.000	моя
320	18	24.660	тему
321	19	24.640	слово
322	29	24.490	старший
323	13	24.095	какими
324	13	24.095	маленький
325	13	24.095	машина
326	13	24.095	смотреть
327	9	23.989	n
328	9	23.989	ар
329	9	23.989	видишь
330	9	23.989	грустный
331	9	23.989	двенадцать
332	9	23.989	двести
333	9	23.989	женщина
334	9	23.989	кошки
335	9	23.989	подожди
336	9	23.989	смесь
337	9	23.989	танцами
338	9	23.989	твой
339	9	23.989	учителя
340	9	23.989	чай
341	9	23.989	эмм
342	27	23.673	слова
343	36	23.378	одна
344	14	23.309	d
345	14	23.309	вещи
346	14	23.309	мои
347	14	23.309	хотелось
348	21	23.113	долго
349	11	23.048	квартире
350	16	22.656	девять
351	16	22.656	ходили
352	18	22.617	дом
353	18	22.617	русский
354	18	22.617	фильм
355	17	22.584	моей
356	30	22.584	чего
357	27	22.419	каждый
358	29	22.129	сама
359	12	21.727	вдруг
360	12	21.727	нравятся
361	12	21.727	поговорить
362	50	21.631	день
363	8	21.323	acc
364	8	21.323	komm
365	8	21.323	nom
366	8	21.323	ааa
367	8	21.323	английский
368	8	21.323	брови
369	8	21.323	вертолет
370	8	21.323	говорящийа
371	8	21.323	говорящийб
372	8	21.323	грустно
373	8	21.323	делаешь
374	8	21.323	егэ
375	8	21.323	замечательно
376	8	21.323	звук
377	8	21.323	иду
378	8	21.323	интересного
379	8	21.323	колесико
380	8	21.323	любишь
381	8	21.323	лёва
382	8	21.323	мемы
383	8	21.323	моих
384	8	21.323	надя
385	8	21.323	неудобно
386	8	21.323	никит
387	8	21.323	одиннадцать
388	8	21.323	поехал
389	8	21.323	прихожу
390	8	21.323	смотрел
391	8	21.323	смотрела
392	8	21.323	студентов
393	8	21.323	типо
394	8	21.323	учился
395	8	21.323	учится
396	8	21.323	хе
397	8	21.323	эт
398	20	21.242	места
399	146	21.225	был
400	13	21.045	бывает
401	13	21.045	говорила
402	13	21.045	специально
403	14	20.696	надеюсь
404	14	20.696	утра
405	28	20.568	совсем
406	10	20.565	интересные
407	10	20.565	рассказывала
408	39	20.491	людей
409	22	20.421	часов
410	40	20.210	говорить
411	35	20.140	четыре
412	19	19.404	павел
413	11	19.382	будто
414	11	19.382	знаете
415	11	19.382	пошел
416	27	19.037	ей
417	36	18.977	две
418	12	18.810	делали
419	16	18.667	реально
420	16	18.667	уж
421	7	18.658	бабушкой
422	7	18.658	боже
423	7	18.658	буквы
424	7	18.658	двери
425	7	18.658	детство
426	7	18.658	детьми
427	7	18.658	друзьями
428	7	18.658	ездить
429	7	18.658	ехали
430	7	18.658	живёт
431	7	18.658	забыла
432	7	18.658	задание
433	7	18.658	квартиры
434	7	18.658	красивый
435	7	18.658	ненавижу
436	7	18.658	нету
437	7	18.658	ноль
438	7	18.658	одни
439	7	18.658	понравилась
440	7	18.658	пошёл
441	7	18.658	ребят
442	7	18.658	секунд
443	7	18.658	скажи
444	7	18.658	сорок
445	7	18.658	супер
446	7	18.658	троих
447	7	18.658	троллейбус
448	7	18.658	человечек
449	7	18.658	читаю
450	7	18.658	чё
451	13	18.550	улице
452	15	18.529	играть
453	9	18.100	брали
454	9	18.100	едем
455	9	18.100	жил
456	9	18.100	институте
457	9	18.100	историю
458	9	18.100	маленькая
459	9	18.100	мое
460	9	18.100	нечего
461	9	18.100	смеется
462	9	18.100	твоя
463	19	17.950	хотел
464	29	17.137	соответственно
465	10	17.066	мной
466	10	17.066	написано
467	153	16.820	еще
468	64	16.625	тогда
469	19	16.611	говоря
470	11	16.609	скажем
471	11	16.609	считаю
472	13	16.442	другую
473	13	16.442	ходить
474	13	16.442	языка
475	12	16.440	детстве
476	12	16.440	купить
477	78	16.275	больше
478	21	16.258	виктор
479	23	16.101	равно
480	25	16.075	лучше
481	6	15.993	distinct
482	6	15.993	onion
483	6	15.993	part
484	6	15.993	автобус
485	6	15.993	автобусе
486	6	15.993	ам
487	6	15.993	антифриз
488	6	15.993	бабуля
489	6	15.993	бешбармак
490	6	15.993	бутово
491	6	15.993	вау
492	6	15.993	верно
493	6	15.993	волосы
494	6	15.993	восемнадцать
495	6	15.993	выпускной
496	6	15.993	гончар
497	6	15.993	готовился
498	6	15.993	жигули
499	6	15.993	загрузили
500	6	15.993	запомнила
501	6	15.993	идёт
502	6	15.993	книги
503	6	15.993	колесо
504	6	15.993	коллектив
505	6	15.993	кормила
506	6	15.993	красиво
507	6	15.993	культура
508	6	15.993	лагере
509	6	15.993	лингвистике
510	6	15.993	литературу
511	6	15.993	лук
512	6	15.993	любил
513	6	15.993	любимый
514	6	15.993	математике
515	6	15.993	мгм
516	6	15.993	мем
517	6	15.993	молодец
518	6	15.993	мужик
519	6	15.993	немец
520	6	15.993	ногой
521	6	15.993	обед
522	6	15.993	орешки
523	6	15.993	погрей
524	6	15.993	подумала
525	6	15.993	покупайте
526	6	15.993	полу
527	6	15.993	польский
528	6	15.993	понравился
529	6	15.993	поступил
530	6	15.993	преподаватели
531	6	15.993	причём
532	6	15.993	пятёрка
533	6	15.993	саш
534	6	15.993	семьдесят
535	6	15.993	слышно
536	6	15.993	снимали
537	6	15.993	снимать
538	6	15.993	спал
539	6	15.993	спрашивают
540	6	15.993	спросить
541	6	15.993	студенты
542	6	15.993	сынок
543	6	15.993	убирай
544	6	15.993	учителей
545	6	15.993	учителем
546	6	15.993	худи
547	6	15.993	чувак
548	6	15.993	шёл
549	6	15.993	щас
550	6	15.993	этаж
551	6	15.993	эх
552	17	15.842	заниматься
553	17	15.842	кем
554	17	15.842	разные
555	355	15.699	но
556	8	15.657	дверь
557	8	15.657	интересный
558	8	15.657	паре
559	8	15.657	работала
560	24	15.586	понятно
561	16	15.488	естественно
562	73	15.379	поэтому
563	18	14.946	е
564	18	14.946	разных
565	18	14.946	сначала
566	9	14.783	берут
567	9	14.783	друзей
568	9	14.783	какого
569	9	14.783	машине
570	9	14.783	можете
571	9	14.783	половиной
572	9	14.783	тяжело
573	20	14.691	друг
574	13	14.626	завтра
575	13	14.626	минус
576	13	14.626	семья
577	22	14.612	дальше
578	12	14.450	семье
579	11	14.372	рядом
580	11	14.372	холодно
581	16	14.124	наша
582	16	14.124	совершенно
583	26	13.930	плюс
584	38	13.771	достаточно
585	24	13.761	чуть
586	15	13.738	вас
587	15	13.738	метро
588	20	13.646	каких
589	14	13.374	главное
590	5	13.327	num
591	5	13.327	арахис
592	5	13.327	бабушку
593	5	13.327	баллов
594	5	13.327	венера
595	5	13.327	вернее
596	5	13.327	видела
597	5	13.327	вкусный
598	5	13.327	вложил
599	5	13.327	вырезать
600	5	13.327	выставках
601	5	13.327	вышло
602	5	13.327	гешу
603	5	13.327	голову
604	5	13.327	горбачёв
605	5	13.327	гости
606	5	13.327	грязь
607	5	13.327	гэкаю
608	5	13.327	двадцати
609	5	13.327	делаем
610	5	13.327	доехали
611	5	13.327	ездила
612	5	13.327	ездит
613	5	13.327	ест
614	5	13.327	жестко
615	5	13.327	жесть
616	5	13.327	живу
617	5	13.327	жила
618	5	13.327	зашли
619	5	13.327	идешь
620	5	13.327	ии
621	5	13.327	ильямихайлович
622	5	13.327	имею
623	5	13.327	инопланетян
624	5	13.327	итак
625	5	13.327	камеру
626	5	13.327	каракатицах
627	5	13.327	картинки
628	5	13.327	кили
629	5	13.327	килограмм
630	5	13.327	классов
631	5	13.327	комнате
632	5	13.327	коридоре
633	5	13.327	красивые
634	5	13.327	крестик
635	5	13.327	крысу
636	5	13.327	лекцию
637	5	13.327	лилии
638	5	13.327	лингвисты
639	5	13.327	лол
640	5	13.327	лука
641	5	13.327	маккартни
642	5	13.327	мальчик
643	5	13.327	маме
644	5	13.327	маму
645	5	13.327	марс
646	5	13.327	математический
647	5	13.327	меровинги
648	5	13.327	мечты
649	5	13.327	миндаль
650	5	13.327	мол
